TIPO|PERIODO|TIPO_USUARIO|TIPO_CONTENIDO|CHANNEL_NAME|USUARIOS|HORAS|GRUPO|PROCESSDATE,,,,,,,,,gsgsfsafasf
T1|202302|FULL|LIVE|MAS CHIC HD|2513|2542,416666|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|GOLPERU HD|10083|33252,566666|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|TLC|6117|12812,650000|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|CARTOON NETWORK HD|747|2182,050000|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|CANAL N HD|19495|108492,200000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|FOX SPORTS 2 HD|15627|24615,533333|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|EL GOURMET HD|3224|3270,633333|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|NAT GEO HD|10310|12266,466666|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|DISNEY CHANNEL HD|584|805,950000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|CNN ESPAÑOL|4383|6909,533333|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|FX HD|71242|91470,200000|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|RPP HD|21268|24735,783333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|CLOVER|2273|1767,083333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|ANIMAL PLANET HD|32332|9690,433333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|AZ CINEMA HD|1875|723,600000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|AMC HD|37865|27620,466666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|WILLAX|94610|369715,483333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|MOVISTAR EVENTOS 2|27502|1812,016666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|ATV HD|187424|1044953,166666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|FILM & ARTS HD|1542|211,783333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|EL GOURMET HD|1494|288,933333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|CANAL J|37895|4174,966666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|TNT SERIES HD|4473|7394,016666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|FOX SPORTS 3 HD|48840|12904,900000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|CARTOON NETWORK HD|34088|28707,733333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|TOONCAST|20444|4075,516666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|GOLPERU HD|13002|34935,383333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|STAR CHANNEL|3501|4724,833333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|CANAL N HD|149370|525701,366666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|HOMEGARDEN|1452|571,866666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|NICK HD|34312|19681,883333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|INVEST.DISCOVERYHD|48979|42734,383333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|FOX SPORTS 2 HD|49735|28700,966666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|TCM|3362|1579,766666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|MOVISTAR EVENTOS|30691|2217,416666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|COMEDY CENTRAL HD|51819|21816,616666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|RPP HD|105234|112818,916666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|CANAL J|53780|8960,133333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|TNT HD|6525|11435,516666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|EUROPA EUROPA HD|2175|510,566666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|ESPN2 PERU|96341|162557,166666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|MTV HD|28833|12567,816666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|UCL|1261|91,550000|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|DISNEY CHANNEL HD|2216|972,550000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|PASIONES HD|30567|11680,566666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|PASIONES HD|1895|855,766666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|LOVE NATURE HD|26742|12550,483333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|LOLLY KIDS|1245|70,833333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|FOOD NETWORK|1404|576,650000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|ESPN EXTRA HD|46030|20249,583333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|TLC|38710|15662,700000|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|CANAL N HD|31377|113419,666666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|PARAMOUNT HD|53671|42209,216666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|AMERICA TELEVISION HD|250110|3153522,150000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|STAR TVE HD|24836|3663,916666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|TOONCAST|1325|288,266666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|PANAMERICANA TELEVISION HD|120829|335692,116666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|DISNEY JUNIOR|33445|26061,766666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|ESPN 3 HD|56045|26218,333333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|M DEPORTES HD|140222|243766,700000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|SPACE HD|68587|100681,083333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|FX HD|4543|6068,716666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|INVEST.DISCOVERYHD|3108|2751,516666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|DISNEY JUNIOR|2147|1486,050000|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|ATV HD|130226|805731,233333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|USMP TV|29684|3205,800000|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|CARTOONITO|2232|2063,366666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|MTV HD|1853|710,966666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|WARNER CHANNEL HD|3723|5044,116666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|EUROPA EUROPA HD|32729|6733,333333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|HOMEGARDEN|21378|8699,900000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|TNT HD|98796|164073,033333|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|M PLUS HD|117234|64266,866666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|VIA X ESPORTS HD|21240|1543,566666|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|CINEMAX HD|2794|2933,983333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|MOVISTAR EVENTOS 2|1611|95,600000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|CLOVER|35319|25789,050000|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|STAR CHANNEL|55822|71099,816666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|MAS CHIC HD|22064|3854,200000|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|AMERICA TELEVISION HD|178637|2318415,550000|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|CARTOON NETWORK HD|2242|2380,483333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|ESPN2 PERU|5630|9601,533333|[>0]|,,,,,,,,
T1|202302|LITE|LIVE|CNN ESPAÑOL|1784|519,950000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|MTV HD|1107|226,850000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|SPACE HD|2540|3418,150000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|NICK HD|1234|774,683333|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|WARNER CHANNEL HD|2028|2676,450000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|CINEMAX HD|1732|2120,183333|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|UCL|17808|1308,350000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|EL GOURMET HD|20776|4564,566666|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|PASIONES HD|1029|575,166666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|GOLTV HD|39889|12837,800000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|TCM|51068|32119,750000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|MOVISTAR EVENTOS|21228|1496,700000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|AMERICA TELEVISION HD|47291|851975,550000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|AMERICA TELEVISION HD|200942|2921038,066666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|DISNEY CHANNEL HD|31488|14856,000000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|ATV HD|156986|1062867,450000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|TNT HD|77449|117164,533333|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|CINECANAL HD|41722|43774,966666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|PASIONES HD|26466|15528,200000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|TNT SERIES HD|52307|108091,600000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|VIA X ESPORTS HD|19769|1674,050000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|EL GOURMET HD|844|232,116666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|M DEPORTES HD|131855|143906,866666|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|HOME & HEALTH HD|1379|1638,400000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|USMP TV|22268|2270,483333|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|GOLPERU HD|6102|10471,833333|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|ESPN 4|61314|35792,450000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|ANIMAL PLANET HD|30668|9180,450000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|AZ CINEMA HD|1071|517,200000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|DISCOVERY KIDS HD|28443|25185,616666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|FOX SPORTS 2 HD|51051|26249,150000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|CINECANAL HD|1681|1864,716666|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|WILLAX|26629|131557,416666|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|FILM & ARTS HD|896|159,466666|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|VIA X ESPORTS HD|777|60,616666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|HOME & HEALTH HD|33205|35774,316666|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|LOVE NATURE HD|1005|562,716666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|LATINA HD|190529|1214851,000000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|AZ CINEMA HD|26304|9670,233333|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|NAT GEO HD|28408|11343,516666|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|LOLLY KIDS|684|46,216666|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|LATINA HD|43778|382835,850000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|WARNER CHANNEL HD|53025|70458,500000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|M PLUS HD|23306|20785,500000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|DISNEY JUNIOR|1287|818,450000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|COMEDY CENTRAL HD|43803|12413,616666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|PARAMOUNT HD|48576|40468,783333|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|STAR TVE HD|950|181,200000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|FOOD NETWORK|835|423,600000|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|CANAL N HD|108774|331233,733333|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|FILM & ARTS HD|21499|3688,866666|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|ESPN HD|184775|1046823,433333|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|RPP HD|4662|5694,933333|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|FOX SPORTS 3 HD|1789|522,550000|[>0]|,,,,,,,,
T1|202305|LITE|LIVE|TNT SERIES HD|2332|5282,283333|[>0]|,,,,,,,,
T1|202305|FULL|LIVE|M PLUS HD|30777|51951,050000|[>5]|,,,,,,,,
T1|202305|FULL|LIVE|STAR TVE HD|2504|2571,683333|[>5]|,,,,,,,,
T1|202305|LITE|LIVE|ESPN HD|5619|36297,350000|[>5]|,,,,,,,,
